Voltage (V),Time (sec)
0.04931400494399854,208.738647
0.048751487777336955,208.755541377
0.045376384777367475,208.770859138
0.04500137333292642,208.778227783
0.044063844721823786,208.783168678
0.04368883327738274,208.788064879
0.04387633899960326,208.793159249
0.04368883327738274,208.798507686
0.04331382183294168,208.803526905
0.04331382183294168,208.808394978
0.04350132755516221,208.813400132
0.04312631611072116,208.81820471
0.04293881038850063,208.822992572
0.04293881038850063,208.827905068
0.04312631611072116,208.833255226
0.04312631611072116,208.838207361
0.04312631611072116,208.843098247
0.04350132755516221,208.847995227
0.04331382183294168,208.852906014
0.04293881038850063,208.857738775
0.042751304666280104,208.863170123
0.04312631611072116,208.868140693
0.04331382183294168,208.873195222
0.04293881038850063,208.878014809
0.04312631611072116,208.882824707
0.04312631611072116,208.887754651
0.04312631611072116,208.892605327
0.04293881038850063,208.898208817
0.04293881038850063,208.90311439
0.04312631611072116,208.908037044
0.04293881038850063,208.912964598
0.04293881038850063,208.91802996
0.04331382183294168,208.924188764
0.04293881038850063,208.930313918
0.04312631611072116,208.940061
0.04312631611072116,208.946129025
0.04312631611072116,208.952161213
0.04312631611072116,208.958149391
0.04312631611072116,208.964453709
0.04312631611072116,208.970637817
0.04312631611072116,208.976648963
0.04331382183294168,208.982946831
0.04331382183294168,209.110627412
0.04293881038850063,209.115689858
0.04293881038850063,209.12058251
0.04293881038850063,209.125542191
0.04293881038850063,209.130484899
0.04312631611072116,209.135521723
0.04293881038850063,209.1408974
0.04312631611072116,209.145919331
0.04293881038850063,209.150789962
0.04293881038850063,209.155726994
0.04312631611072116,209.160714232
0.04293881038850063,209.165656733
0.04293881038850063,209.17054814
0.04293881038850063,209.176054601
0.042751304666280104,209.180895954
0.04293881038850063,209.186017362
0.04293881038850063,209.190897933
0.04293881038850063,209.195908033
0.042751304666280104,209.200988401
0.04293881038850063,209.206601627
0.04293881038850063,209.21162048
0.04293881038850063,209.216649759
0.04293881038850063,209.221614077
0.042751304666280104,209.226613195
0.04293881038850063,209.231725955
0.04293881038850063,209.236659032
0.04293881038850063,209.242169763
0.04293881038850063,209.24716961
0.04312631611072116,209.252165284
0.04312631611072116,209.257214977
0.04293881038850063,209.262171386
0.04312631611072116,209.268100813
0.04293881038850063,209.27440675
0.04293881038850063,209.28122279
0.04312631611072116,209.287229455
0.04293881038850063,209.2932005
0.042751304666280104,209.299211905
0.04293881038850063,209.305246958
0.04312631611072116,209.311137169
0.042751304666280104,209.31721842
0.04312631611072116,209.323648628
0.04312631611072116,209.329685922
0.04293881038850063,209.336747279
0.04312631611072116,209.342852801
0.04312631611072116,209.348771657
0.04312631611072116,209.354953008
0.04293881038850063,209.360927906
0.04293881038850063,209.36713984
0.04293881038850063,209.373239686
0.04293881038850063,209.379339997
0.04312631611072116,209.385669477
0.04293881038850063,209.392342809
0.04293881038850063,209.398249739
0.04312631611072116,209.404282547
0.04293881038850063,209.41075645
0.04293881038850063,209.417203326
0.04312631611072116,209.423674783
0.04293881038850063,209.429902126
0.04293881038850063,209.436069156
0.04312631611072116,209.443171709
0.04293881038850063,209.449736237
0.04293881038850063,209.45608405
0.04312631611072116,209.461926862
0.04293881038850063,209.46809238
0.04293881038850063,209.474452066
0.04293881038850063,209.480602746
0.04293881038850063,209.487056134
0.04293881038850063,209.493414212
0.04293881038850063,209.500558478
0.04293881038850063,209.50688415
0.04293881038850063,209.513035765
0.04293881038850063,209.519385712
0.042751304666280104,209.525764672
0.04293881038850063,209.531749199
0.04312631611072116,209.53757425
0.04293881038850063,209.543715499
0.04293881038850063,209.549627216
0.04293881038850063,209.555895601
0.04293881038850063,209.562860184
0.04293881038850063,209.569254041
0.04312631611072116,209.575271749
0.04293881038850063,209.581400551
0.04293881038850063,209.587464927
0.04293881038850063,209.59373092
0.04293881038850063,209.599848892
0.04293881038850063,209.6061377
0.04293881038850063,209.612346451
0.04293881038850063,209.619480254
0.04293881038850063,209.625598538
0.04312631611072116,209.631875255
0.04293881038850063,209.638231922
0.04293881038850063,209.644791452
0.04312631611072116,209.651012704
0.04293881038850063,209.657158745
0.04293881038850063,209.663258117
0.04293881038850063,209.670207645
0.042751304666280104,209.676382125
0.04293881038850063,209.682654208
0.04312631611072116,209.688711921
0.04293881038850063,209.694731352
0.04293881038850063,209.700819374
0.04293881038850063,209.706960364
0.04312631611072116,209.71308177
0.042751304666280104,209.719074114
0.04312631611072116,209.726092815
0.04312631611072116,209.732261048
0.042751304666280104,209.738401101
0.04293881038850063,209.7443536
0.04312631611072116,209.750266929
0.042751304666280104,209.756437347
0.04293881038850063,209.762278598
0.04293881038850063,209.769713959
0.04293881038850063,209.77703245
0.04293881038850063,209.784093125
0.04293881038850063,209.790142139
0.04293881038850063,209.796176196
0.04312631611072116,209.802133543
0.04293881038850063,209.808285885
0.042751304666280104,209.814398748
0.04312631611072116,209.820383383
0.04312631611072116,209.826362192
0.042751304666280104,209.833061361
0.04293881038850063,209.839030066
0.04293881038850063,209.845040898
0.042751304666280104,209.851382151
0.04312631611072116,209.857522774
0.04293881038850063,209.863464595
0.04293881038850063,209.869406525
0.04293881038850063,209.875413503
0.04312631611072116,209.881336523
0.042751304666280104,209.888451527
0.04293881038850063,209.894737101
0.04312631611072116,209.900663713
0.04293881038850063,209.906614707
0.04293881038850063,209.912771116
0.04312631611072116,209.919000748
0.04293881038850063,209.925277779
0.04293881038850063,209.932442001
0.04293881038850063,209.942801998
0.042751304666280104,209.951554498
0.04312631611072116,209.957904553
0.04312631611072116,209.96396731
0.04312631611072116,209.970109762
0.04312631611072116,209.976461532
0.04312631611072116,209.982574347
0.04312631611072116,209.988555025
0.04331382183294168,209.994739657
0.04312631611072116,210.001883817
0.04312631611072116,210.007915847
0.04312631611072116,210.013912517
0.04312631611072116,210.020288718
0.04312631611072116,210.026451947
0.04331382183294168,210.032381116
0.04312631611072116,210.038678038
0.04312631611072116,210.044691788
0.04331382183294168,210.051314026
0.04312631611072116,210.057612932
0.04312631611072116,210.063517878
0.04350132755516221,210.069774649
0.04312631611072116,210.075907044
0.04331382183294168,210.082004232
0.04331382183294168,210.088165795
0.04312631611072116,210.094287198
0.04312631611072116,210.100379234
0.04331382183294168,210.107130426
0.04312631611072116,210.113462875
0.04312631611072116,210.119579594
0.04312631611072116,210.125737615
0.04312631611072116,210.132013606
0.04331382183294168,210.138211211
0.04331382183294168,210.144293663
0.04293881038850063,210.150402261
0.04331382183294168,210.157111007
0.04331382183294168,210.163280122
0.04331382183294168,210.16931882
0.04331382183294168,210.175625961
0.04331382183294168,210.18189794
0.04331382183294168,210.188073978
0.04350132755516221,210.194167259
0.04331382183294168,210.200331949
0.04331382183294168,210.206863565
0.04350132755516221,210.213114243
0.04331382183294168,210.219192992
0.04331382183294168,210.225403361
0.04331382183294168,210.231363722
0.04312631611072116,210.237335078
0.04312631611072116,210.243320957
0.04331382183294168,210.249595588
0.04312631611072116,210.256731321
0.04312631611072116,210.262787936
